RANK,NAME,POINTS,22.1,22.2,22.3,COUNTRY,REGION,AFFILIATE,AGE,HEIGHT,WEIGHT
648,Ally,Zierke,6764,949th,706th,United States,North America,CrossFit Kilo II,Age 23,67,145
778,Amber,Knickerbocker,7042,460th,1473rd,United States,North America,CrossFit Kilo II,Age 39,
834,Deidre,Franzen,7154,3934th,3194th,United States,North America,CrossFit Kilo II,Age 27,67,160
2182,Chelsey,Viger,10299,2533rd,2657th,United States,North America,CrossFit HomeBase Central,Age 32,
7189,Meredith,Nedelcoff,21372,8010th,8253rd,United States,North America,CrossFit Kilo II,Age 29,63,120
7897,Marisa,Maher,22771,10693rd,11824th,United States,North America,CrossFit HomeBase Central,Age 30,68,170
9735,Tauni,Doster,26646,8557th,12980th,United States,North America,CrossFit Kilo II,Age 41,
10522,Amanda,Fender,28357,3560th,19688th,United States,North America,CrossFit Rescue,Age 32,
14373,Ally,Davis,36332,22069th,9154th,United States,North America,CrossFit Kilo II,Age 24,70 in
